node_name,MCC,DMNC,MNC,Degree,EPC,BottleNeck,EcCentricity,Closeness,Radiality,Betweenness,Stress
Foxd2,1,1.08141,3,5,11.178,1,0.25,245.41667,4.26161,0.35359,44
Foxc2,4,0.38039,6,7,13.843,1,0.25,272.41667,4.51858,8.00372,536
Foxo3,24,0.49393,23,26,49.153,1,0.25,311.5,4.83127,129.46336,8928
Pou5f1,28,0.32657,14,19,27.118,1,0.25,296.75,4.71053,109.45994,5486
Foxi1,3,0.37893,4,7,14.925,1,0.25,276.83333,4.55573,4.18059,404
Foxl1,52,0.25584,30,38,53.202,2,0.25,323.08333,4.90557,733.42931,27758
Foxd1,34,0.39487,16,27,36.341,1,0.25,301.91667,4.73994,184.85925,6886
Nkx3-2,23,1.19332,9,14,21.738,1,0.25,284.83333,4.6161,97.45988,5674
Tfcp2,363,0.56472,45,94,110.426,1,0.25,326.41667,4.8808,1802.40153,125266
Fosl2,519,0.41821,57,175,158.634,1,0.25,339.41667,4.98297,2687.5308,302562
Fosl1,50,0.47469,30,75,108.238,1,0.25,315.58333,4.8483,344.61845,45168
Fosb,213,0.47632,40,89,113.587,3,0.25,326.08333,4.91176,1513.50162,105322
Fos,5380,0.40282,86,147,142.467,1,0.25,357.91667,5.06811,4055.65599,243164
Crem,418,0.39833,54,83,104.303,1,0.25,327.91667,4.88235,1382.87048,66782
Jund,498,0.51148,43,55,82.409,3,0.25,324.75,4.89628,513.92599,27594
Hinfp,60,0.48748,25,29,40.683,3,0.2,303.78333,4.73994,359.15865,13694
Nhlh1,295,0.39083,27,44,65.479,1,0.2,308.11667,4.78328,265.14696,23236
Atf6,5,0,1,7,10.432,1,0.2,247.2,4.26935,5.40922,350
Zscan29,18,0.51861,5,9,12.307,1,0.25,265.33333,4.44118,31.64459,976
Zkscan1,13,0.58344,5,10,15.219,1,0.25,264.91667,4.43034,39.54897,1214
Dux,4475,0.23608,112,162,124.34,8,0.2,376.28333,5.12848,12706.998,370110
Esrra,147,0.46095,34,47,71.409,1,0.25,319.91667,4.86687,491.41017,23274
Hnf4g,0,0.25623,183,231,141.681,33,0.25,404.75,5.20588,30514.304,969230
Hnf4a,0,0.52686,12,17,36.856,1,0.2,296.36667,4.72136,20.50429,1604
Stat5b,51,0.39414,14,19,36.783,2,0.25,292.91667,4.68266,66.35222,7004
Zbtb26,194,0.39065,31,34,51.778,2,0.25,319.83333,4.8839,278.24677,12498
Stat5a,1166,0.47632,40,61,87.945,1,0.25,327.25,4.9257,578.28361,40440
Stat4,12,0.35915,10,16,26.675,1,0.25,283.91667,4.60217,49.61803,3086
Bcl6,42,0.64394,12,21,27.845,1,0.25,271.75,4.47833,106.86287,4158
Plagl2,10,0.41281,16,33,54.689,1,0.2,291.86667,4.65635,323.64257,17438
Hic1,165,0.42129,23,26,46.879,2,0.2,311.28333,4.82508,113.15212,6290
Meis3,81,0.25947,26,33,53.522,1,0.2,318.03333,4.87152,311.20268,15282
Pparg,210,0.37914,30,34,56.634,2,0.2,312.95,4.81579,409.1022,17578
Nr1i3,12,0.25931,5,11,25.04,1,0.2,274.95,4.52941,13.15434,816
Maf,30,0.23452,19,28,40.94,1,0.25,298.08333,4.71981,183.16131,8176
Nfe2l2,243,0.59351,40,57,88.758,2,0.25,326.75,4.91176,1218.82807,55304
Nfe2l1,171,0.41146,20,21,37.914,1,0.25,292.91667,4.66563,86.17485,4048
Lhx8,28,0.4296,9,14,28.783,1,0.25,280.16667,4.57585,29.14832,2222
Gata1,87,0.40874,19,25,47.195,1,0.25,303.25,4.76316,87.38833,5998
Klf17,44,0.28863,20,27,43.134,1,0.2,306.95,4.78483,213.78539,9432
Glis2,626,0.46937,44,53,77.565,1,0.2,317.95,4.82817,311.18852,20428
Foxh1,22,0.34989,8,12,18.259,1,0.2,279.28333,4.56347,44.54026,1544
Tbr1,214,0.24644,36,42,52.019,1,0.25,313.33333,4.80805,471.37108,15700
Osr2,647,0.39365,56,64,85.002,2,0.2,333.28333,4.92724,1026.85292,40284
Hand2,77,0.26923,16,19,29.493,1,0.25,294.5,4.68576,153.47358,5526
Atoh7,10,0.40246,7,12,20.591,1,0.2,286.53333,4.63467,29.80874,1902
Myf6,10,0.42794,6,13,22.766,1,0.2,267.11667,4.46285,41.06741,2218
Lmx1a,10,0.32197,12,19,26.913,1,0.2,281.7,4.57585,148.85484,4678
Foxk1,1203,0.32288,80,106,114.451,4,0.33333,348.66667,4.99845,3315.17681,193822
Rhox11,2,0,1,2,5.486,1,0.2,229.78333,4.0805,0.13029,18
Sox4,330,0.28917,43,57,74.504,1,0.25,328.25,4.91331,905.84163,36460
Tbx2,105,0.36184,19,20,38.772,1,0.25,300.16667,4.73529,50.13122,3144
Sox10,157,0.36184,19,23,39.416,1,0.25,308.58333,4.81269,152.75204,7840
Znf684,3,0.30898,3,6,13.464,1,0.2,261.28333,4.40867,7.98564,574
Nkx2-5,1844,0.4628,63,83,95.189,5,0.25,346.25,5.01858,5399.17717,139806
Hey2,2627,0.55309,81,154,143.945,1,0.2,355.78333,5.05263,5553.95076,320840
Klf14,60,0.29232,50,62,91.499,1,0.25,330.58333,4.9257,467.34382,33476
Sp4,4894,0.54222,94,143,143.725,2,0.25,356.75,5.03251,2847.03624,196226
Klf13,1577,0.53172,83,146,139.231,3,0.25,340.75,4.92105,2358.24974,171816
Nr4a1,179,0.43506,49,58,79.624,2,0.25,330.41667,4.91176,1123.71471,44342
Rela,27,0.38186,9,16,28.704,1,0.2,277.78333,4.5418,99.53709,3042
Rel,36,0.54656,20,22,46.209,1,0.2,289.11667,4.63158,26.02636,1810
Nr1d2,4552,0.5137,80,120,128.585,2,0.25,353.08333,5.0356,3197.53396,167640
Nkx2-8,116,0.30023,23,32,57.01,1,0.2,304.61667,4.76625,134.08217,9696
Nkx2-3,123,0.32783,21,26,47.848,1,0.25,306.25,4.78638,86.80593,6902
Zic4,621,0.28999,41,45,52.111,3,0.25,320.66667,4.85759,575.47563,19586
Nr4a2,2460,0.30595,85,105,103.328,3,0.25,355.75,5.0387,5669.03031,166808
Rfx3,715,0.44117,46,65,90.231,1,0.2,328.95,4.91796,620.19639,52662
Rfx1,43,0.33503,19,23,39.204,1,0.2,300.36667,4.7291,140.32589,6162
Ebf1,114,0.2581,27,48,61.563,1,0.25,300.75,4.71362,444.07061,22754
Pou2f1,3194,0.45658,97,139,135.803,1,0.25,355.58333,5.00619,4331.91243,212786
Klf6,416,0.32663,84,122,129.848,1,0.25,350.41667,4.99845,3098.27961,146080
Klf11,9198,0.65043,119,226,161.693,4,0.25,373.75,5.1161,6656.47524,418108
Ets2,45,0.51181,22,26,47.679,1,0.2,303.45,4.74923,276.28723,9134
Hif1a,6525,0.44789,99,127,127.354,1,0.25,356.58333,5.01238,4138.72296,199796
Etv5,308,0.29846,54,62,77.426,1,0.25,336.25,4.96594,1474.09863,55360
Etv3,817,0.4712,49,79,103.506,1,0.25,328.58333,4.90093,1707.47213,105390
Erf,303,0.62179,43,79,108.987,2,0.25,326.25,4.90402,654.40295,55068
Elk3,28,0.26824,13,18,25.828,1,0.25,300.16667,4.74458,133.10812,5970
Fli1,6,0.2842,4,9,14.721,1,0.2,269.45,4.47833,18.38336,1420
Erg,41,0.25215,25,30,40.041,2,0.2,305.61667,4.76006,621.8757,22186
Fev,7,0.25931,5,11,19.283,1,0.25,276.16667,4.5387,28.62909,2058
Ets1,719,0.64751,35,52,81.919,2,0.2,316.28333,4.83437,316.82013,22720
Sp1,265,0.24817,48,63,88.497,1,0.25,331.83333,4.93344,899.14127,41514
Lhx9,741,0.5466,39,41,70.605,1,0.2,325.45,4.90712,375.61416,22616
Elk1,426,0.5977,35,38,63.606,1,0.25,323.08333,4.90248,153.36227,12960
Zbtb6,583,0.26782,54,68,76.251,1,0.25,337,4.95046,3337.96728,94164
Znf449,241,0.28048,38,39,52.996,2,0.25,320.41667,4.86533,1103.55528,36812
Klf10,7146,0.41263,96,115,124.446,1,0.25,361.08333,5.06656,2498.81588,118944
Thap1,1463,0.44797,65,106,121.198,10,0.25,341.75,4.97368,3223.11932,172200
Myf5,152,0.31441,30,67,79.051,1,0.33333,318.66667,4.84675,1510.12077,86004
Tfap4,771,0.48967,53,94,97.897,1,0.25,331.91667,4.93189,1987.6498,92084
Sox3,98,0.30028,31,35,53.568,1,0.25,324.25,4.9257,498.16032,23832
Foxa2,324,0.34558,53,80,104.742,1,0.25,333.41667,4.94272,919.0903,65108
Vezf1,42,0.30992,23,38,55.248,1,0.2,297.61667,4.68885,778.07055,27946
Tfap2e,122,0.30971,27,52,80.481,1,0.25,315.75,4.85294,399.93576,31268
Znf740,186,0.3226,43,71,99.185,1,0.25,322.58333,4.87307,408.61446,35258
Sp2,304,0.54815,40,49,81.874,1,0.25,325.91667,4.91331,554.69205,27468
Rreb1,0,0.52146,88,270,162.438,2,0.25,356.75,5.05418,6270.63629,769970
Etv6,3401,0.34301,104,132,123.273,7,0.25,366.08333,5.08514,7207.20243,242318
Elf3,1146,0.57817,39,48,76.57,1,0.2,324.28333,4.89938,273.69476,23912
Ehf,1072,0.44992,36,39,55.081,1,0.2,320.95,4.87771,279.2094,12378
Elk4,1176,0.4864,43,66,94.604,1,0.25,325.41667,4.89938,688.43726,46914
Elf1,684,0.51097,36,40,65.087,1,0.2,322.61667,4.89319,170.58475,13330
Znf135,13,0.25931,5,10,12.542,1,0.2,260.03333,4.387,43.00462,1032
Nr2c1,293,0.32586,38,44,58.426,1,0.25,322.08333,4.8808,395.27726,20706
Rorb,727,0.16339,83,102,76.234,7,0.2,351.95,4.99226,12537.59722,330702
Rora,203,0.35519,39,62,83.205,4,0.2,323.86667,4.88545,980.08104,45940
Foxf1,25,0.24976,18,23,41.539,1,0.25,306.41667,4.79102,100.42569,5562
Foxk2,18,0.24879,12,22,32.092,1,0.25,307.58333,4.80495,127.80186,7356
Foxj3,16,0.52304,6,11,19.014,1,0.25,284.16667,4.6161,28.06594,1716
Foxg1,10,0.2864,9,13,22.69,1,0.25,297.08333,4.7291,32.907,2688
Foxp2,48,0.51894,26,38,58.475,2,0.25,316.41667,4.86223,521.36961,30166
Foxp1,219,0.21308,61,100,109.023,4,0.25,340.58333,4.96904,3930.38215,310804
Foxf2,5,0,1,7,13.481,1,0.25,262.08333,4.4195,13.01842,756
Nr2e1,15,0.32073,8,9,18.626,1,0.2,284.53333,4.62229,20.0229,1056
Ctcf,52,0.22108,20,29,43.909,1,0.25,305.83333,4.76316,375.248,10978
Nr2c2,1266,0.35514,61,68,82.631,1,0.25,340.75,4.98607,1148.70501,45188
Ppara,8,0.30543,11,15,22.702,1,0.2,295.36667,4.70279,101.84825,4558
Scrt2,24,0.2864,9,12,18.308,1,0.2,283.95,4.60991,60.2411,2500
Scrt1,199,0.2624,32,54,50.294,1,0.2,317.61667,4.8065,2714.25829,71432
Esrrg,861,0.28652,60,93,106.065,2,0.33333,341.5,4.97523,3766.22231,172764
Nr2f1,2828,0.45142,67,98,119.021,1,0.25,341.41667,4.97368,1574.51652,106544
Etv1,4340,0.44569,74,81,94.91,1,0.25,351.08333,5.0418,1736.66553,71284
En1,126,0.22544,33,40,47.56,1,0.25,314.75,4.82508,846.24059,24676
Atf2,915,0.44592,56,90,115.099,1,0.25,331.08333,4.90248,1757.83148,98560
Znf75d,331,0.37289,32,40,65.345,1,0.25,323.5,4.90557,703.37031,26100
Tcf7l2,109,0.22531,29,35,43.529,1,0.2,306.95,4.76625,489.05733,15008
Jun,1963,0.79791,70,119,130.963,1,0.33333,344.66667,4.99845,2296.55424,143138
Esr2,160,0.52725,27,72,106.487,1,0.33333,320.66667,4.89938,1221.96707,405474
Tcf7,42,0.86346,12,25,51.704,1,0.2,283.95,4.60062,226.04969,17128
Pbx1,6117,0.40173,88,131,130.947,1,0.25,356.58333,5.04644,4595.60659,224754
